date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,consumer_complaint_narrative,company,state,zipcode,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed?,complaint_id
03/19/2015,Mortgage,Reverse mortgage,"Application, originator, mortgage broker",,"I am very disappointed that the CFPB did not help to resolve this fraudulant loan. # XXXX between XXXX XXXX and XXXX, FF ( AKA ) One West. Case # XXXX with CFPB. 
",,CIT Bank National Association,NJ,080XX,Older American,Consent provided,Web,03/19/2015,Closed with explanation,Yes,No,1290543
03/19/2015,Credit card,,Other,,"Mel S. Harris & assoc. used deceptive collection practices while attempting to collect on a purchased debt. Once initial contact had been made and a discussion on solutions to resolve the debt, the attorney office sent out a summons for an appearance in court. The representative had advised us that "" we should not worry because we will receive several of these notifications. '' However, there was a case filed in the city court and required an immediate response to avoid a default judgment. This summons was used as a collection tool while in mutual good faith discussion on how to repay the debt. The representatives refused to discuss reasonable payment arrangements and told us to deal with the courts. When I inquired as to why a summons was sent out while we were talking to their agency in good faith I was hung up on. After calling back XXXX times I was finally connected to a supervisor who again tried to tell me not to worry about the summons. As I inquired further as to the reason of the summons I was hung up on again. I was hung up on a total of XXXX times while asking to speak to a manager or an attorney within their office. This debt is over XXXX years old and was supposedly incurred by my mother in law who is on a fixed income and under the care of XXXX. Every time I had requested documentation or verification of the debt I was told to deal with it in court -- even though I was assured prior, that nothing had been sent or filed with the court! I am an advocate for my mother in law while dealing with what I consider to be an unprofessional and unscrupulous debt collector. The summons was sent just to solidify their subtle threats of garnishment, liens, or any other means at their disposal. My concern is that this would appear to be a regular occurrence with this agency. Once the attorney office makes contact with a consumer they issue a summons to scare the debtor. My mother in law was served on XXXX/XXXX/15 ; we had started discussing the debt on XXXX/XXXX/15 which means they ordered it while we were discussing in good faith our options on the debt. Mel S. Harris & assoc is using the power and intimidation of the summons and the court system as a scare tactic and collection tool to coerce and discriminate against consumers 
",,"Mel S. Harris and Associates, LLC",NY,140XX,Older American,Consent provided,Web,04-01-2015,Closed with explanation,Yes,No,1290606
03/19/2015,Consumer Loan,Vehicle loan,Managing the loan or lease,,"I have a car loan with PNC bank. In XXXX of 2014 I sent a payment of {$250.00} in the form of a money order. PNC bank lost my payment. After that mishap I began to submit. my payments online, via bill payment. Now this month I submitted a payment of {$300.00}, online as before, they will not release the money to my account. I have proof that I sent the payment and PNC bank still refuses to accept the payment. 
",,PNC Bank N.A.,MD,212XX,,Consent provided,Web,03/19/2015,Closed with explanation,Yes,No,1290617
03/19/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"a incorrect reporting by cavalry portfolio on my credit report shows that i have a collection account of {$1400.00} I have no knowledge of this debt when I requested investigation by both the credit agency 's and the creditor I got no response from them and then only a letter from the credit agency 's that they were going to update my credit report to show i disputed it. account number XXXX 
",,"Cavalry Investments, LLC",FL,335XX,,Consent provided,Web,03/31/2015,Closed with non-monetary relief,Yes,No,1290308
03/19/2015,Debt collection,Mortgage,False statements or representation,Impersonated an attorney or official,"Lawyers at this law firm ( XXXX ) sent me a letter stating they were hired by this bank ( XXXX ) to prosecute legal proceedings to enforce the security interest, collect a debt on my mortgage. and filed affidavits in court declaring they were hired to collect a debt for this bank and filed an foreclosure in the banks name. This bank never had a loan on my property because it was paid out before the banks merged. About two years after contacting the bank the filed a affidavit stating the bank did not hire nor pay this firm to file the foreclosure. Once I contacted the bank the firm tried to get it dismissed and erased from record. 
",Company believes it acted appropriately as authorized by contract or law,"Dean Morris, L.L.P.",LA,708XX,,Consent provided,Web,04/14/2015,Closed with explanation,Yes,Yes,1290181
03/19/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,"In XX/XX/XXXX I filed a police report regarding my wallet being stolen which had money, credit cards, driver 's license, SS card, and checks. I immediately went to my bank and closed the account and reopened a new one and received new checks with a different account number. The person who stole my wallet had used my debit card ... but since it was still pending ... the bank was able to block the withdrawal. I placed a fraud alert on my credit reports and I got a new driver 's license and then ended up getting a XXXX one with my new name since I had married. 
Last week I received a letter from Meade & Associates attempting to collect on a debt from XXXX checks written on my old account with my old drivers license name starting in XX/XX/XXXX. I called and spoke with XXXX XXXX and he agreed that everything was done correctly, I just needed to send him the information from my bank and the police report along with my current drivers license. I requested that he send me copies of the checks that were written, which he did. I went to my bank and they did not have anything specific since nothing actually went through my account at the time. However, they new I had closed that account and reopened the new one and that I had presented them with a police report. They wrote me a letter to give to XXXX XXXX and I was able to retrieve the police report online. Monday, XXXX XXXX, I faxed both of these documents along with my current drivers license, my actual signature, as well as the new police report number for the case filed with the forgery/fraud department. I followed up with a call to XXXX XXXX on Tuesday and was informed he was not available, but they would have him return my call. I called Wednesday afternoon and was then told that he had left early that day without returning my call. I asked if anyone else could help. I was transferred to XXXX. She obtained the documents that I had faxed and I explained to her I wanted to finalize clearing this ordeal. She became hateful and kept saying she needed documents that I she already had. She stated I still needed an affidavit from my bank stating I did not write the checks ... she refused to listen to anything I had to say and acted is if it did not matter what I sent ... it was n't going to make a difference. At that point I definitely became angry and she told me to never call that office again. I called my bank and told them what was going on and they stated that XXXX did not know what she was talking about because the bank never had me sign an affidavit because nothing had actually gone through my account since I had immediately blocked all transactions due to closing the account. The check transactions even clearly say that when they were processed there was no account found. I am currently waiting for my case to be assigned to a detective ... but I am filing reports and claims to help prevent any more aggravation from this company and hope they will learn that you ca n't treat people like criminals when they are the victims in some circumstances ... especially when they present facts and proof. 
",Company believes it acted appropriately as authorized by contract or law,"Meade & Associates, Inc.",KY,400XX,Servicemember,Consent provided,Web,03/19/2015,Closed,Yes,No,1290282
03/26/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"I received services from a healthcare provider XXXX years ago. Recently I got a call from a Collection Agency who said the debt has not been paid. The healthcare provider and I were in agreement that they 'd take care of billing but somehow my name was thrown into the mix. The healthcare agency does not respond to my inquiries about the debt or to the collection agency 's inquiries about the debt. This has a possibility of ruining my credit. 
",Company chooses not to provide a public response,"CMRE Financial Services, Inc.",CA,906XX,Servicemember,Consent provided,Web,03/26/2015,Closed with explanation,Yes,No,1302072
03/19/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Nationstar Mortgage withheld money from my monthly house payment to fund an Escrow account from which they are to pay property taxes. They used the funds from my account to pay taxes on someone else 's property - landing me in collections with the XXXX County tax department. They have since paid off the collections, but are showing the additional amount as being part of my payoff amount ( meaning they are charging me XXXX for property taxes ). When my attorney and I have requested that they update the payoff since it was not my error, they are not helping me. They have told me they have to wait for the refund from XXXX County. When I contacted XXXX County, they advised me they do not refund mortgage companies for issues such as this. They said the mortgage company has to request the funds from the owner of the property that they erroneously paid. Nationstar is now saying they did not make a mistake. My attorney has documentation showing the issue and that I am being penalized for this, which is making it impossible for me to refinance my loan to a lower interest rate ( this is how we noticed the issue ). I have spent literally hours trying to get this resolved - many times being disconnected and given incorrect call back numbers or numbers that route to the wrong department. I also gave each of the representatives my call back number and no one has called me back. I left several messages with XXXX in the tax department and she never returned my calls. I want to move my loan from this company ( which could be accomplished through a refi ), but they are showing me as owing {$6000.00} more than I should, which means I would have to come out of pocket and hope for a reimbursement at some point. 
",,Nationstar Mortgage,GA,303XX,,Consent provided,Web,03/19/2015,Closed with explanation,Yes,No,1290820
03/19/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,"Transunion # XXXXSince I received the letter from XXXX XXXX regarding the complaint listed above I have discovered that this problem has escalated and I believe that I should taking serious action as my rights are being violated. I am outraged at the method of deception which was put into to play last year and is still going. The first thing is the way that they state in the letter that the fraud case issue was denied by their Security Operations dept. Well it was the dept who advised me about the XXXX charge for the refrigerators and they made no mention about the case regarding the fraud was denied, because HD was the XXXX doing the fraud to me. 
In this letter there is no mention about the refrigerator XXXX charge and it also states that they only received XXXX payment of XXXX in XX/XX/2015? ( THAT DATE IS FUTURE ) That payment was made in XX/XX/XXXX along with other payments made to pay the account off in full. They stated that I did not cooperate and provide a declaration for unauthorized use, that is not true as I called to find out why there had been charges made in the months I did not use the card. The c/s XXXX was a rude bias man and he made up the whole story because he was already covering up the fact that there were the bogus charges for the XXXX refrigerator that had APR charges and late fees they could not reverse. He chose not to disclose that information and he was the one who made those negative remarks said to be by me, and now I believe that XXXX have together started providingTRANSUNION with real incorrect information, slandering my name. Transunion sent me XXXX credit files, XXXX saying that there was a error by XXXX and then a XXXX that has trashed my entire credit file and fico score. I called Transunion and told them to remove the fraud alert. They asked for the removal request to be provided in writing and in fact they did the opposite and issued an Extensive Fraud Alert. The strange thing I that the credit file is dated XXXX XXXX 2015 and the personal info is dated XXXX/XXXX/15 and there is a note stating File Blocked for Promotional Purposes. For the revolving accounts they have noted that they are paid as agreed buy it states in bold type "" ADDITIONAL INFORMATION-Credit Card. There are also accounts that they have reported that have been closed per my request and they are not accounts I have had, not to mention a public record I do not know about. They have done this to raise additional flags for my credit history and create problems for any future loans or credit card app. I may request. Well during this dispute the credit dept for XXXX XXXX loaded up my credit file with a great deal of negative information and my FICO score went from XXXX to a XXXX. I ordered my credit report and reported all of this to the XXXX agencies. So I decided to use this XXXX XXXX credit card on XXXX/XXXX/15 and it was only for the deposit of a tool rental and at the register the clerk told me it was declined. I called the number on the card and after stating my card number the automated stated I had a XXXX balance and I was eligible for deferred charging. I asked to speak w/ a rep and he stated that my account was closed per customer request. That was not true I had not requested the account to be closed and the credit report does not make that indication. I believe that this was done in retaliation as I am still receiving emails stating that my account has a XXXX balance and is active, as well as more marketing emails encouraging me to use my account. 
",,"TransUnion Intermediate Holdings, Inc.",CA,952XX,,Consent provided,Web,03/19/2015,Closed with non-monetary relief,Yes,No,1290315
03/19/2015,Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,"I am trying to deal with Navient ( formerly XXXX XXXX ) regarding private loans that were taken out for my college tuition ( both under my name and with my mother as the primary borrower and myself as the cosigner. ) They have admitted over the phone repeatedly that if you are n't giving money to them over the phone ( the exact amount that they want, which is exorbitant, ) they will not document the phone call. Because of this, I have started dealing with them only via paper letters, which they have not taken kindly to. 

For the loans where I am the primary borrower, they are expecting well over $ XXXX/month payments which are unreasonable with my income. I have given them multiple financial statements over the phone, which they apparently are n't putting in the system because the next time I talk to someone there they say that there 's nothing on file. When I give them the statements, they agree that $ XXXX/month is too much, but that they have nothing else available. When I ask what they recommend I do, they say to not even bother sending the amount that I can actually afford without losing my home and car ( needed for my job ) because it 's not enough to do anything worthwhile. Then they make fun of me for not going into the career path that I was hoping to while in college and demand to know when I will be. 

For the loans where my mother is the primary borrower, she has one in a lower payment plan. We have confirmation numbers for the payments and they have been taking them out of her checking account, but then we received a letter in the mail stating that the payment plan has been rejected ( no reason why, which we 're trying to find out in writing. ) Yet even after the date the letter was sent, the money has still been taken out of her account by Navient. She 's also still receiving letters and phone calls that that particular account is delinquent, even though she 's making payments on it. 

I am at my wits end with them, trying to contact them via paper ( I refuse to talk to them on the phone anymore, as it 's resulting in me having panic and anxiety attacks every time they call. ) I do n't want to go into default, but I ca n't afford anything close to what they are demanding for these loans. I have used up all of my forbearance time on these loans ( which I paid {$150.00} every few months to put them into when it was XXXX XXXX. ) It 's almost making me wish that I never went to school at all, and also wish that my school had done a better job educating about what private loans really are instead of having me just sign a piece of paper for more money towards tuition ( XXXX XXXX and XXXX XXXX of XXXX. ) My federal loans are in a reasonable repayment plan based on my income ... why ca n't private loans be the same way? Please help or advise what I can do! 
",,"Navient Solutions, Inc.",NY,142XX,,Consent provided,Web,03/19/2015,Closed with explanation,Yes,Yes,1290841
03/19/2015,Credit reporting,,Incorrect information on credit report,Account status,"I have been disputing incorrect information on my Experian XXXX XXXX XXXX credit report but they are unwilling to allow me to dispute their "" investigation results ''. The creditors are XXXX XXXX and XXXX XXXX XXXX. The report reflects late payments and the information is inaccurate. XXXX creditors have agreed to have the items corrected on all XXXX credit bureaus but only XXXX made the correction. 
",Company chooses not to provide a public response,Experian,FL,331XX,,Consent provided,Web,03/19/2015,Closed with explanation,Yes,No,1290842
03/19/2015,Credit reporting,,Incorrect information on credit report,Account status,"I have been disputing incorrect information on my XXXX & Trans Union credit report but they are unwilling to allow me to dispute their "" investigation results ''. The creditors are XXXX XXXX and XXXX XXXX XXXX. The report reflects late payments and the information is inaccurate. Both creditors have agreed to have the items corrected on all XXXX credit bureaus but only XXXX made the correction. 
",,"TransUnion Intermediate Holdings, Inc.",FL,331XX,,Consent provided,Web,03/19/2015,Closed with explanation,Yes,No,1290843
03/19/2015,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,"Experian # XXXXXXXXSince I received the letter from XXXX XXXX regarding the complaint listed above I have discovered that this problem has escalated and I believe that I should taking serious action as my rights are being violated. I am outraged at the method of deception which was put into to play last year and is still going. The first thing is the way that they state in the letter that the fraud case issue was denied by their Security Operations dept. Well it was the dept who advised me about the double charge for the refrigerators and they made no mention about the case regarding the fraud was denied, because XXXX was the XXXX doing the fraud to me. 
In this letter there is no mention about the refrigerator XXXX charge and it also states that they only received XXXX payment of XXXX in XX/XX/XXXX? ( THAT DATE IS FUTURE ) That payment was made in XX/XX/XXXX along with other payments made to pay the account off in full. They stated that I did not cooperate and provide a declaration for unauthorized use, that is not true as I called to find out why there had been charges made in the months I did not use the card. The XXXX XXXX was a rude bias man and he made up the whole story because he was already covering up the fact that there were the bogus charges for the second refrigerator that had APR charges and late fees they could not reverse. He chose not to disclose that information and he was the one who made those negative remarks said to be by me, and now I believe that XXXX have together started providing Experian the real incorrect information, slandering my name. Experian sent me XXXX credit files, XXXX saying that there was a error by XXXX and then a XXXX that has trashed my entire credit file and fico score. I called Experian and told them to remove the fraud alert. They asked for the removal request to be provided in writing and in fact they did the opposite and issued an Extensive Fraud Alert. The strange thing I that the credit file is dated XX/XX/XXXX and the personal info is dated XX/XX/XXXX and there is a note stating File Blocked for Promotional Purposes. For the revolving accounts they have noted that they are paid as agreed buy it states in bold type "" ADDITIONAL INFORMATION-Credit Card. There are also accounts that they have reported that have been closed per my request and they are not accounts I have had, not to mention a public record I do not know about. They have done this to raise additional flags for my credit history and create problems for any future loans or credit card app. I may request. Well during this dispute the credit dept for XXXX XXXX loaded up my credit file with a great deal of negative information and my FICO score went from XXXX to a XXXX. I ordered my credit report and reported all of this to the XXXX agencies. So I decided to use this XXXX XXXX credit card on XX/XX/XXXX and it was only for the deposit of a tool rental and at the register the clerk told me it was declined. I called the number on the card and after stating my card number the automated stated I had a zero balance and I was eligible for deferred charging. I asked to speak w/ a rep and he stated that my account was closed per customer request. That was not true I had not requested the account to be closed and the credit report does not make that indication. I believe that this was done in retaliation as I am still receiving emails stating that my account has a zero balance and is active, as well as more marketing emails encouraging me to use my account. Experian has not agreed to make any changes 
",Company chooses not to provide a public response,Experian,CA,952XX,,Consent provided,Web,03/25/2015,Closed with non-monetary relief,Yes,No,1290316
